user_input,retrieved_contexts,response,reference,context_precision,faithfulness,answer_correctness
Will the University pay for my spouse's travel if they help me by typing notes during the trip?,"[""In other cases, it will be determined that it would be desirable, but that it does not serve a bona fide business purpose to the University, for the spouse to attend a function on behalf of the institution.  In such cases if the University approves the reimbursement of the spouse's travel, it will be necessary, under IRS code, to include such reimbursement in the employee's taxable wages as a taxable fringe benefit.  \nIn any other cases, a spouse's travel will be the personal responsibility of the employee."", ""In other cases, it will be determined that it would be desirable, but that it does not serve a bona fide business purpose to the University, for the spouse to attend a function on behalf of the institution.  In such cases if the University approves the reimbursement of the spouse's travel, it will be necessary, under IRS code, to include such reimbursement in the employee's taxable wages as a taxable fringe benefit.  \nIn any other cases, a spouse's travel will be the personal responsibility of the employee."", 'of the trip, including any direct-billing for travel. It is solely the responsibility of the traveler to complete this form and obtain proper signatures before a University-related trip is authorized, regardless of who is paying for the travel.']","I cannot find this information in the provided policies. The context does not address situations where a spouse assists with tasks like taking notes; it only discusses when and how to reimburse such costs under specific circumstances related to bona fide business purposes for the University, according IRS guidelines on taxable fringe benefits. Personal assistance from a spouse is also not mentioned as an eligible reason for travel expenses covered by the employer in this context.
","No, performing menial tasks such as typing notes does not make it a bona fide business expense; the spouse must perform substantive business-related functions essential to the employee's purpose.",1,0.8,0.429271456
How long do I have to submit my travel expenses before they are treated as taxable income?,"['- Ensuring proper tax treatment of taxable income items and compliance with IRS regulations  \nAs stated, and in order to comply with IRS regulations, Mount Union faculty and staff must reconcile University travel expenses within 60 days of completion of travel.  If expenses are not submitted within 60 days, any University-paid expenses will be considered taxable income to the employee and will be treated as such.  \nUniversity-related travel expenses incurred using personal funds will be ineligible for reimbursement after 120 days and must be settled for the fiscal year by July 21 annually.', '- Ensuring proper tax treatment of taxable income items and compliance with IRS regulations  \nAs stated, and in order to comply with IRS regulations, Mount Union faculty and staff must reconcile University travel expenses within 60 days of completion of travel.  If expenses are not submitted within 60 days, any University-paid expenses will be considered taxable income to the employee and will be treated as such.  \nUniversity-related travel expenses incurred using personal funds will be ineligible for reimbursement after 120 days and must be settled for the fiscal year by July 21 annually.', ""- Travelers must provide, on an authorized Travel and Miscellaneous Expense Reimbursement Form or electronically if using the University Purchasing Card ('P-Card'), a statement substantiating the amount, time, use and business purpose of expenses within a reasonable time (not to exceed sixty (60) days) after the expenses are incurred .  Original receipts must be attached to the statement for all expenditures over $25.""]","Within 60 days of completing your travel. After this period, any unsubmitted University-paid expenses will be considered taxable income and must comply with the proper treatment under IRS regulations.","Faculty and staff must reconcile University travel expenses within 60 days of completion of travel, otherwise the expenses will be considered taxable income to the employee.",1,1,0.7946200883
Are traffic fines and parking tickets reimbursable if I am driving a University fleet vehicle?,"['The traveler must document the mileage to the destination by the most direct route by attaching a printout for mileage from a reputable source, such as MapQuest or Google Maps.  Gasoline purchased for a personal vehicle is not reimbursable, nor should it be charged on a University PCard.  Expenses incurred for mechanical failures or accidents, including personal automobile  \ninsurance deductibles will not be reimbursed.  Fines for parking or traffic violations are the responsibility of the traveler and also will not be reimbursed.', 'The traveler must document the mileage to the destination by the most direct route by attaching a printout for mileage from a reputable source, such as MapQuest or Google Maps.  Gasoline purchased for a personal vehicle is not reimbursable, nor should it be charged on a University PCard.  Expenses incurred for mechanical failures or accidents, including personal automobile  \ninsurance deductibles will not be reimbursed.  Fines for parking or traffic violations are the responsibility of the traveler and also will not be reimbursed.', 'Remember that when you are driving a University-owned car or van, you are representing the University of Mount Union by displaying its logo on the door of the vehicle.  Thus, you should be responsible and convey a positive image.  Driving aggressively or speeding is unacceptable and will result in loss of driving privileges.  Drivers will be responsible for all moving violations and parking tickets while driving a University vehicle.']",I cannot find this information in the provided policies. The context does not mention anything about traffic fines or parking tickets being reimbursed for using a University fleet vehicle; it explicitly states that these are the responsibility of the traveler and will not be covered by any policy mentioned.,"No, drivers are responsible for all moving violations and parking tickets while driving a University vehicle, and these will not be reimbursed.",1,0.75,0.6777953367
Are gifts given to employees considered taxable compensation?,"['considered de minimis for tax reporting purposes and are considered gifts under this policy.  For employees, gifts under this policy are considered compensation and will be subject to federal, state and employment tax withholding and reporting on the form W-2.  For non-employees, the value of all gifts and gift cards/certificates under this policy in aggregate amount of $600 or more per calendar year will be reported on IRS form 1099-Misc as other compensation. Also, gifts and gift cards/certificates given to nonresident aliens are subject to federal tax withholding.  See detailed', 'considered de minimis for tax reporting purposes and are considered gifts under this policy.  For employees, gifts under this policy are considered compensation and will be subject to federal, state and employment tax withholding and reporting on the form W-2.  For non-employees, the value of all gifts and gift cards/certificates under this policy in aggregate amount of $600 or more per calendar year will be reported on IRS form 1099-Misc as other compensation. Also, gifts and gift cards/certificates given to nonresident aliens are subject to federal tax withholding.  See detailed', 'IRS Publication 17 provides very specific guidance regarding taxable income of gifts given to employees and nonemployees which are paid with institutional funds.  Cash and cash equivalent fringe benefits such as gift cards/certificates have a readily determinable value and as such do not constitute de minimis fringe benefits regardless of the face amount of the gift card/certificate.  Also, gifts purchased with university funds having a retail value of twenty dollars or more are also not considered de minimis for tax reporting purposes and are considered gifts under this policy.  For']","Yes, in accordance with the provided context, employee gifts that meet certain monetary thresholds will be reported as other forms of compensation and subjected to federal, state, and employment taxes. Specifically, any gift or certificate/card given when its value reaches $600 per calendar year for non-employees is considered additional income requiring reporting on IRS form 1099-Misc. For employees exceeding this threshold could also be subject to the same treatment based on institutional fund usage and relevant tax laws detailed in related publications such as Publication 17.","Yes, gifts purchased with university funds having a retail value of twenty dollars or more are considered compensation and will be subject to federal, state, and employment tax withholding.",1,1,0.5747622371
What is the recommended student to faculty ratio for overnight student organization travel?,"['- Overnight Travel any off-campus travel that keeps the traveler away for one night or more. It is recommended that overnight travel have a 12:1 student to faculty/staff member ratio or less. In instances where it is difficult to meet the 12:1 ratio with faculty, staff, or volunteers, a student leader should also be identified as a point person to assist in resolving any problems or issues that occur during  the  trip,  or  to  serve  in  a  leadership  capacity.  Recommended  student  leaders  include organization president or vice president, team captain, etc.', '- Overnight Travel any off-campus travel that keeps the traveler away for one night or more. It is recommended that overnight travel have a 12:1 student to faculty/staff member ratio or less. In instances where it is difficult to meet the 12:1 ratio with faculty, staff, or volunteers, a student leader should also be identified as a point person to assist in resolving any problems or issues that occur during  the  trip,  or  to  serve  in  a  leadership  capacity.  Recommended  student  leaders  include organization president or vice president, team captain, etc.', 'Overnight travel - Any overnight travel for one or more nights.  On Overnight events, it is recommended that the presence of a minimum of one student/faculty staff advisor for every twelve (12) students in attendance is followed.  A faculty/staff advisor or another assigned faculty/staff person as trip supervisor must attend all overnight travel trips of 3 or more students. A copy of all forms MUST be maintained by the faculty/staff advisor during the trip with the original sent to the attention of the Associate Dean of Students within the Office of Student Affairs at least one week prior to']","12:1 or less. Additionally, a trip supervisor must attend all trips with three or more students and maintain required forms as per office guidelsetup instructions. If it's hard to meet this ratio without additional staff/faculty presence, identify a capable student leader like an organization president or team captain for assistance during the trip.",It is recommended to maintain a minimum of one student/faculty staff advisor for every twelve (12) students in attendance (12:1 ratio).,1,0.8,0.5320193661
Can a student leader serve as the Travel Supervisor for an overnight trip?,"['- Overnight Travel any off-campus travel that keeps the traveler away for one night or more. It is recommended that overnight travel have a 12:1 student to faculty/staff member ratio or less. In instances where it is difficult to meet the 12:1 ratio with faculty, staff, or volunteers, a student leader should also be identified as a point person to assist in resolving any problems or issues that occur during  the  trip,  or  to  serve  in  a  leadership  capacity.  Recommended  student  leaders  include organization president or vice president, team captain, etc.', '- Overnight Travel any off-campus travel that keeps the traveler away for one night or more. It is recommended that overnight travel have a 12:1 student to faculty/staff member ratio or less. In instances where it is difficult to meet the 12:1 ratio with faculty, staff, or volunteers, a student leader should also be identified as a point person to assist in resolving any problems or issues that occur during  the  trip,  or  to  serve  in  a  leadership  capacity.  Recommended  student  leaders  include organization president or vice president, team captain, etc.', 'For any travel, the student organization must select someone to serve as the Travel Supervisor. The role of the Travel Supervisor is to lead the planning of the trip and to serve as a liaison between the trip participants and the University. Only in the case of same day or one day travel, the Travel Supervisor may be a student leader - someone who is at least 18 years of age and is in good standing (academically, conduct,  financial)  with  the  University.    Otherwise,  travel  supervisors  are  to  be  faculty,  staff,  or administrators employed by the University, including the student']","No, only in cases of same day or one-day travel can a student leader be the Travel Supervisor; otherwise it should be faculty/staff. For longer trips like overnights with difficulty meeting staff ratios, recommended leaders are organization president/vice president or team captain alongside identifiable adult supervisors from among available resources.","No, student leaders may only serve as the Travel Supervisor for same day or one day travel; travel supervisors for overnight trips are to be faculty, staff, or administrators employed by the University.",1,0.8333333333,0.5922871839
"If students are of legal drinking age, can a University representative consume alcohol with them on a student organization trip?","['Use of alcohol or drugs while on a student organization trip is prohibited.  University representatives may not provide alcoholic beverages to any student, consume alcoholic beverages in the presence of any student, or be present when any student is consuming alcoholic beverages, regardless of the age of the student(s).', 'Use of alcohol or drugs while on a student organization trip is prohibited.  University representatives may not provide alcoholic beverages to any student, consume alcoholic beverages in the presence of any student, or be present when any student is consuming alcoholic beverages, regardless of the age of the student(s).', ""Each team's head coach is responsible for setting conduct standards (e.g. dress, conduct, curfews, free time activities, etc.) during athletic trips.  Student athletes are required to represent the University of Mount Union with appropriate attire, appearance and language, be courteous guests when staying at hotels, and not to leave valuables unattended while traveling or in a hotel room.  Absolutely no alcohol is to be carried or consumed while on an Athletic-Department sponsored trip.""]","No, university representatives may not provide alcoholic beverages to any student or consume alcohol in their presence during such trips. This applies regardless of the legality of students' ages for drinking purposes. The provided policies clearly state that no representative should engage with alcohol around students on these organization events.","No, University representatives may not consume alcoholic beverages in the presence of any student, regardless of the age of the student.",1,1,0.714671273
Who must a trip leader contact in the event of an accident or emergency during a trip?,"['## Accident or emergency  \nIn the event of an accident or an emergency, trip advisors should first attend to the injured, getting them the necessary medical assistance, and then determine what condition caused the injury or illness. Once the injured persons have been appropriately attended to, the trip leader should then contact Mount Union Security (330-428-1344) and the Office of Student Affairs immediately to notify them of the accident, any injuries and/or property damage to a University or another vehicle.', '## Accident or emergency  \nIn the event of an accident or an emergency, trip advisors should first attend to the injured, getting them the necessary medical assistance, and then determine what condition caused the injury or illness. Once the injured persons have been appropriately attended to, the trip leader should then contact Mount Union Security (330-428-1344) and the Office of Student Affairs immediately to notify them of the accident, any injuries and/or property damage to a University or another vehicle.', 'The Office of Student Affairs must be notified immediately by the trip advisor of any emergencies or issues that arise on the trip.  If the Vice President of Student Affairs or Associate Dean of Students is not available, the trip advisor should contact Campus Security, who will assist with further communication.']","Mount Union Security (330-428-1344) and the Office of Student Affairs immediately after attending to injured persons. If these individuals are not available, Campus Security should be involved for further assistance.","After attending to the injured, the trip leader must immediately contact Mount Union Security and the Office of Student Affairs.",1,0.6666666667,0.797340524
Can student-athletes drive other student-athletes to away games in their personal cars?,"['In general, all team members must travel to and from away-from-home contests with the official travel party of the University and stay in assigned lodging, if applicable.  Student-athletes are not to transport other student athletes in private vehicles once the students have reported for an official University activity/function. Once the student has reported, official university transportation needs to be supplied by employees and other university-approved drivers or commercial drivers. This directive means it is inappropriate to ask a student-athlete, in his/her own car, to transport others', 'In general, all team members must travel to and from away-from-home contests with the official travel party of the University and stay in assigned lodging, if applicable.  Student-athletes are not to transport other student athletes in private vehicles once the students have reported for an official University activity/function. Once the student has reported, official university transportation needs to be supplied by employees and other university-approved drivers or commercial drivers. This directive means it is inappropriate to ask a student-athlete, in his/her own car, to transport others', 'means it is inappropriate to ask a student-athlete, in his/her own car, to transport others (1) to the airport when departing for an away competition, or (2) to an alternative practice site after reporting to a central location.']","No, it is not appropriate for student-athletes to transport others using their own vehicles once they have reported for an official University activity/function. They must use the official university or approved commercial transports instead. This policy likely extends to driving other students to away games as well, so doing so in a personal car would be against regulations outlined by your context. I cannot find specific information about airport transportation but based on general guidelsofthe provided policies it can reasonably assumed that this rule also applies there too; hence they should not drive others' cars to the airport for away games either.","No, student-athletes are not to transport other student-athletes in private vehicles once they have reported for an official University activity/function.",1,0.2857142857,0.7010625004
Does the athletic department require a separate hotel room for charter bus drivers on overnight trips?,"['- a. Prior to trip, coach will provide detailed itinerary to bus company and athletic department that includes stops, lodging arrangements, etc.\n- b. If overnight travel, a separate single room must be reserved for bus driver.\n- c. Any changes need to be communicated as soon as possible with bus company and athletic department.\n4. A list of pick-up and drop-off locations will be made at the start of the year and any changes for a particular trip must be communicated in advance.', '- a. Prior to trip, coach will provide detailed itinerary to bus company and athletic department that includes stops, lodging arrangements, etc.\n- b. If overnight travel, a separate single room must be reserved for bus driver.\n- c. Any changes need to be communicated as soon as possible with bus company and athletic department.\n4. A list of pick-up and drop-off locations will be made at the start of the year and any changes for a particular trip must be communicated in advance.', 'If a charter company is used for transportation, contracted drivers can only drive for up to 10 hours a day and must take periodic breaks as required by law. For overnight trips, drivers must be afforded their own hotel room and per federal law they are to be unreachable (e.g. their cell phone is turned off) for the duration of their mandated off time. If these requirements will affect your trip, they must be budgeted for accordingly.']","Yes, according to policy b., if there is an overnight travel aspect of any transportation used by the team (which can include both school and potentially third-party companies), then a separate single room must be reserved for the bus driver. This requirement aligns with federal law as well that mandates drivers on such trips should have their own hotel accommodations where they are to remain unreachable during off time, effectively turning their cell phone(s) off or otherwise ensdicting them from contact while rested at these facilities.","Yes, if there is overnight travel, a separate single room must be reserved for the bus driver.",1,0.8571428571,0.5719122828
